Codebook Index Counts:
Index 964: 75
Index 965: 77
Index 966: 189
Index 967: 193
Index 968: 73
Index 969: 145
Index 970: 108
Index 971: 117
Index 972: 121
Index 973: 102
Index 974: 167
Index 975: 77
Index 976: 99
Index 977: 107
Index 978: 134
Index 979: 70
Index 980: 97
Index 981: 138
Index 982: 165
Index 983: 101
Index 984: 99
Index 985: 151
Index 986: 134
Index 987: 195
Index 988: 173
Index 989: 253
Index 990: 208
Index 991: 139
Index 992: 280
Index 993: 155
Index 994: 129
Index 995: 177
Index 996: 113
Index 997: 196
Index 998: 113
Index 999: 241
Index 1000: 148
Index 1001: 139
Index 1002: 109
Index 1003: 112
Index 1004: 98
Index 1005: 110
Index 1006: 84
Index 1007: 177
Index 1008: 127
Index 1009: 100
Index 1010: 177
Index 1011: 205
Index 1012: 143
Index 1013: 124
Index 1014: 114
Index 1015: 92
Index 1016: 89
Index 1017: 157
Index 1018: 100
Index 1019: 96
Index 1020: 139
Index 1021: 133
Index 1022: 58
Index 1023: 149
Index 1024: 123
Index 1025: 202
Index 1026: 62
Index 1027: 214
Index 1028: 249
Index 1029: 66
Index 1030: 124
Index 1031: 67
Index 1032: 164
Index 1033: 153
Index 1034: 93
Index 1035: 124
Index 1036: 68
Index 1037: 156
Index 1038: 117
Index 1039: 147
Index 1040: 271
Index 1041: 142
Index 1042: 73
Index 1043: 158
Index 1044: 99
Index 1045: 84
Index 1046: 107
Index 1047: 84
Index 1048: 66
Index 1049: 115
Index 1050: 115
Index 1051: 90
Index 1052: 107
Index 1053: 188
Index 1054: 84
Index 1055: 113
Index 1056: 96
Index 1057: 133
Index 1058: 80
Index 1059: 75
Index 1060: 210
Index 1061: 104
Index 1062: 164
Index 1063: 98
Index 1064: 242
Index 1065: 351
Index 1066: 187
Index 1067: 189
Index 1068: 112
Index 1069: 114
Index 1070: 107
Index 1071: 122
Index 1072: 105
Index 1073: 82
Index 1074: 219
Index 1075: 61
Index 1076: 87
Index 1077: 133
Index 1078: 91
Index 1079: 198
Index 1080: 120
Index 1081: 96
Index 1082: 139
Index 1083: 189
Index 1084: 180
Index 1085: 209
Index 1086: 100
