Codebook Index Counts:
Index 785: 682
Index 786: 566
Index 787: 541
Index 788: 600
Index 789: 507
Index 790: 684
Index 791: 576
Index 792: 534
Index 793: 661
Index 794: 532
Index 795: 588
Index 796: 574
Index 797: 679
Index 798: 599
Index 799: 423
Index 800: 546
Index 801: 762
Index 802: 485
Index 803: 490
Index 804: 491
Index 805: 486
Index 806: 600
Index 807: 569
Index 808: 547
Index 809: 523
Index 810: 605
Index 811: 441
Index 812: 646
Index 813: 585
Index 814: 512
Index 815: 532
Index 816: 547
Index 817: 603
Index 818: 752
Index 819: 660
Index 820: 482
Index 821: 568
Index 822: 441
Index 823: 471
Index 824: 508
Index 825: 509
Index 826: 852
Index 827: 555
Index 828: 572
Index 829: 532
Index 830: 618
Index 831: 607
Index 832: 520
Index 833: 509
Index 834: 644
Index 835: 522
Index 836: 514
Index 837: 481
Index 838: 535
Index 839: 472
Index 840: 555
Index 841: 543
Index 842: 540
Index 843: 456
Index 844: 596
Index 845: 616
Index 846: 477
Index 847: 538
Index 848: 574
Index 849: 542
Index 850: 550
Index 851: 477
Index 852: 552
Index 853: 482
Index 854: 437
Index 855: 634
Index 856: 612
Index 857: 581
Index 858: 570
Index 859: 501
Index 860: 595
Index 861: 743
Index 862: 606
Index 863: 567
Index 864: 588
Index 865: 502
Index 866: 493
Index 867: 355
Index 868: 520
Index 869: 526
Index 870: 558
Index 871: 628
Index 872: 691
Index 873: 518
Index 874: 474
Index 875: 534
Index 876: 428
Index 877: 511
Index 878: 442
Index 879: 478
Index 880: 478
Index 881: 505
Index 882: 513
Index 883: 592
Index 884: 510
Index 885: 554
Index 886: 601
Index 887: 552
Index 888: 526
Index 889: 632
Index 890: 610
Index 891: 535
Index 892: 605
Index 893: 493
Index 894: 579
Index 895: 570
Index 896: 415
Index 897: 595
Index 898: 585
Index 899: 568
Index 900: 521
Index 901: 449
Index 902: 518
Index 903: 608
Index 904: 622
Index 905: 464
Index 906: 615
Index 907: 557
Index 908: 544
Index 909: 605
Index 910: 406
Index 911: 511
Index 912: 662
Index 913: 637
Index 914: 498
Index 915: 585
Index 916: 588
Index 917: 497
Index 918: 698
Index 919: 546
Index 920: 471
Index 921: 540
Index 922: 4301
Index 923: 508
Index 924: 562
Index 925: 651
Index 926: 597
Index 927: 534
Index 928: 552
Index 929: 546
Index 930: 633
Index 931: 686
Index 932: 566
Index 933: 517
Index 934: 573
Index 935: 476
Index 936: 466
Index 937: 712
Index 938: 501
Index 939: 589
Index 940: 615
Index 941: 550
Index 942: 556
Index 943: 562
Index 944: 455
Index 945: 576
Index 946: 563
Index 947: 448
Index 948: 481
Index 949: 557
Index 950: 633
Index 951: 893
Index 952: 590
Index 953: 417
Index 954: 516
Index 955: 444
Index 956: 538
Index 957: 385
Index 958: 533
Index 959: 497
Index 960: 553
Index 961: 580
Index 962: 541
Index 963: 767
Index 964: 429
Index 965: 511
Index 966: 696
Index 967: 621
Index 968: 392
Index 969: 453
Index 970: 412
Index 971: 515
Index 972: 578
Index 973: 447
Index 974: 603
Index 975: 496
Index 976: 449
Index 977: 595
Index 978: 569
Index 979: 449
Index 980: 594
Index 981: 560
Index 982: 559
Index 983: 562
Index 984: 505
Index 985: 565
Index 986: 511
Index 987: 611
Index 988: 594
Index 989: 574
Index 990: 577
Index 991: 585
Index 992: 791
Index 993: 514
Index 994: 484
Index 995: 617
Index 996: 508
Index 997: 695
Index 998: 511
Index 999: 463
Index 1000: 553
Index 1001: 573
Index 1002: 630
Index 1003: 539
Index 1004: 534
Index 1005: 596
Index 1006: 476
Index 1007: 519
Index 1008: 543
Index 1009: 544
Index 1010: 673
Index 1011: 695
Index 1012: 553
Index 1013: 613
Index 1014: 429
Index 1015: 504
Index 1016: 591
Index 1017: 489
Index 1018: 434
Index 1019: 528
Index 1020: 487
Index 1021: 504
Index 1022: 428
Index 1023: 573
Index 1024: 557
Index 1025: 630
Index 1026: 503
Index 1027: 899
Index 1028: 535
Index 1029: 419
Index 1030: 499
Index 1031: 527
Index 1032: 388
Index 1033: 472
Index 1034: 498
Index 1035: 523
Index 1036: 553
Index 1037: 650
Index 1038: 510
Index 1039: 743
Index 1040: 525
Index 1041: 544
Index 1042: 462
Index 1043: 467
Index 1044: 519
Index 1045: 479
Index 1046: 465
Index 1047: 580
Index 1048: 470
Index 1049: 482
Index 1050: 502
Index 1051: 500
Index 1052: 592
Index 1053: 432
Index 1054: 588
Index 1055: 497
Index 1056: 471
Index 1057: 500
Index 1058: 511
Index 1059: 395
Index 1060: 695
Index 1061: 536
Index 1062: 592
Index 1063: 523
Index 1064: 539
Index 1065: 629
Index 1066: 610
Index 1067: 795
Index 1068: 466
Index 1069: 524
Index 1070: 515
Index 1071: 590
Index 1072: 479
Index 1073: 496
Index 1074: 680
Index 1075: 473
Index 1076: 399
Index 1077: 541
Index 1078: 522
Index 1079: 631
Index 1080: 518
Index 1081: 474
Index 1082: 589
Index 1083: 627
Index 1084: 549
Index 1085: 4202
Index 1086: 495
Index 1087: 603
Index 1088: 639
Index 1089: 613
Index 1090: 484
Index 1091: 516
Index 1092: 523
Index 1093: 561
Index 1094: 521
Index 1095: 448
Index 1096: 568
Index 1097: 533
Index 1098: 830
Index 1099: 670
Index 1100: 596
Index 1101: 575
Index 1102: 465
Index 1103: 781
Index 1104: 529
Index 1105: 563
Index 1106: 556
Index 1107: 444
Index 1108: 570
Index 1109: 505
Index 1110: 543
Index 1111: 458
Index 1112: 671
Index 1113: 545
Index 1114: 483
Index 1115: 520
Index 1116: 567
Index 1117: 695
Index 1118: 594
Index 1119: 591
Index 1120: 620
Index 1121: 553
Index 1122: 614
Index 1123: 448
Index 1124: 516
Index 1125: 600
Index 1126: 659
Index 1127: 552
Index 1128: 496
Index 1129: 679
Index 1130: 629
Index 1131: 434
Index 1132: 514
Index 1133: 491
Index 1134: 472
Index 1135: 493
Index 1136: 684
Index 1137: 580
Index 1138: 551
Index 1139: 435
Index 1140: 430
Index 1141: 421
Index 1142: 541
Index 1143: 508
Index 1144: 563
Index 1145: 473
Index 1146: 697
Index 1147: 457
Index 1148: 540
Index 1149: 713
Index 1150: 574
Index 1151: 658
Index 1152: 601
Index 1153: 541
Index 1154: 430
Index 1155: 521
Index 1156: 578
Index 1157: 576
Index 1158: 572
Index 1159: 550
Index 1160: 631
Index 1161: 784
Index 1162: 527
Index 1163: 664
Index 1164: 471
Index 1165: 568
Index 1166: 460
Index 1167: 746
Index 1168: 490
Index 1169: 552
Index 1170: 574
Index 1171: 533
Index 1172: 574
Index 1173: 541
Index 1174: 514
Index 1175: 539
Index 1176: 477
Index 1177: 533
Index 1178: 584
Index 1179: 486
Index 1180: 513
Index 1181: 593
Index 1182: 706
Index 1183: 475
Index 1184: 661
Index 1185: 520
Index 1186: 537
Index 1187: 618
Index 1188: 789
Index 1189: 638
Index 1190: 3809
Index 1191: 573
Index 1192: 575
Index 1193: 525
Index 1194: 541
Index 1195: 878
Index 1196: 530
Index 1197: 698
Index 1198: 544
Index 1199: 559
Index 1200: 514
Index 1201: 481
Index 1202: 607
Index 1203: 522
Index 1204: 523
Index 1205: 524
Index 1206: 526
Index 1207: 828
Index 1208: 574
Index 1209: 562
Index 1210: 527
Index 1211: 705
Index 1212: 735
Index 1213: 551
Index 1214: 581
Index 1215: 580
Index 1216: 434
Index 1217: 505
Index 1218: 486
Index 1219: 529
Index 1220: 421
Index 1221: 584
Index 1222: 497
Index 1223: 495
Index 1224: 734
Index 1225: 536
Index 1226: 470
Index 1227: 441
Index 1228: 509
Index 1229: 402
Index 1230: 497
Index 1231: 443
Index 1232: 626
Index 1233: 562
Index 1234: 577
Index 1235: 495
Index 1236: 593
Index 1237: 394
Index 1238: 460
Index 1239: 381
Index 1240: 521
Index 1241: 663
Index 1242: 684
Index 1243: 562
Index 1244: 595
Index 1245: 582
Index 1246: 568
Index 1247: 455
Index 1248: 564
Index 1249: 589
Index 1250: 498
Index 1251: 627
Index 1252: 551
Index 1253: 563
Index 1254: 541
Index 1255: 577
Index 1256: 516
Index 1257: 497
Index 1258: 521
Index 1259: 452
Index 1260: 450
Index 1261: 530
Index 1262: 552
Index 1263: 549
Index 1264: 517
Index 1265: 556
Index 1266: 546
Index 1267: 709
Index 1268: 497
Index 1269: 607
Index 1270: 646
Index 1271: 527
Index 1272: 641
Index 1273: 611
Index 1274: 470
Index 1275: 749
Index 1276: 573
Index 1277: 540
Index 1278: 1493
Index 1279: 522
Index 1280: 620
Index 1281: 543
Index 1282: 553
Index 1283: 510
Index 1284: 474
Index 1285: 561
Index 1286: 512
Index 1287: 606
Index 1288: 554
Index 1289: 430
Index 1290: 483
Index 1291: 700
Index 1292: 569
Index 1293: 663
Index 1294: 622
Index 1295: 673
Index 1296: 443
Index 1297: 512
Index 1298: 531
Index 1299: 522
Index 1300: 512
Index 1301: 484
Index 1302: 496
Index 1303: 468
Index 1304: 520
Index 1305: 476
Index 1306: 534
